-----------------------------------------------------
-----     Resultados para Ejemplo Peque   -----
-----------------------------------------------------

Parametro Deficit (alfa): 1.0
Parametro Exceso (beta):  1.0
Parametro de probabilidades (epsilon): 0.02
CPU time: 0.004
p	q	g Estimada	g Exacta	g Referencia	Deficit	Exceso
0	1	17496.0	17496.0	17496.0	0	 	0
0	2	33324.0	33324.0	33324.0	0	 	0
0	3	5472.0	5472.0	5472.0	0	 	0
0	4	2772.0	2772.0	2772.0	0	 	0
0	5	47016.0	47016.0	47016.0	0	 	0
0	6	16680.0	16680.0	16680.0	0	 	0
0	7	14052.0	14052.0	14052.0	0	 	0
1	0	39336.0	39336.0	39336.0	0	 	0
1	2	35952.0	35952.0	35952.0	0	 	0
1	3	19416.0	19416.0	19416.0	0	 	0
1	4	7284.0	7284.0	7284.0	0	 	0
1	5	28656.0	28656.0	28656.0	0	 	0
1	6	8436.0	8436.0	8436.0	0	 	0
1	7	26820.0	26820.0	26820.0	0	 	0
2	0	444.0	444.0	444.0	0	 	0
2	1	21120.0	21120.0	21120.0	0	 	0
2	3	40608.0	40608.0	40608.0	0	 	0
2	4	30672.0	30672.0	30672.0	0	 	0
2	5	43836.0	43836.0	43836.0	0	 	0
2	6	17772.0	17772.0	17772.0	0	 	0
2	7	31596.0	31596.0	31596.0	0	 	0
3	0	32352.0	32352.0	32352.0	0	 	0
3	1	5796.0	5796.0	5796.0	0	 	0
3	2	24720.0	24720.0	24720.0	0	 	0
3	4	11856.0	11856.0	11856.0	0	 	0
3	5	23184.0	23184.0	23184.0	0	 	0
3	6	17832.0	17832.0	17832.0	0	 	0
3	7	40392.0	40392.0	40392.0	0	 	0
4	0	38976.0	38976.0	38976.0	0	 	0
4	1	36624.0	36624.0	36624.0	0	 	0
4	2	43320.0	43320.0	43320.0	0	 	0
4	3	33516.0	33516.0	33516.0	0	 	0
4	5	11124.0	11124.0	11124.0	0	 	0
4	6	44556.0	44556.0	44556.0	0	 	0
4	7	8196.0	8196.0	8196.0	0	 	0
5	0	24492.0	24492.0	24492.0	0	 	0
5	1	16416.0	16416.0	16416.0	0	 	0
5	2	14064.0	14064.0	14064.0	0	 	0
5	3	47616.0	47616.0	47616.0	0	 	0
5	4	45420.0	45420.0	45420.0	0	 	0
5	6	28188.0	28188.0	28188.0	0	 	0
5	7	22032.0	22032.0	22032.0	0	 	0
6	0	34356.0	34356.0	34356.0	0	 	0
6	1	27060.0	27060.0	27060.0	0	 	0
6	2	7800.0	7800.0	7800.0	0	 	0
6	3	23196.0	23196.0	23196.0	0	 	0
6	4	6864.0	6864.0	6864.0	0	 	0
6	5	25416.0	25416.0	25416.0	0	 	0
6	7	21000.0	21000.0	21000.0	0	 	0
7	0	41988.0	41988.0	41988.0	0	 	0
7	1	13068.0	13068.0	13068.0	0	 	0
7	2	41976.0	41976.0	41976.0	0	 	0
7	3	31620.0	31620.0	31620.0	0	 	0
7	4	28008.0	28008.0	28008.0	0	 	0
7	5	11592.0	11592.0	11592.0	0	 	0
7	6	34344.0	34344.0	34344.0	0	 	0

l	i	j	v Observado	v Estimado
0	2	0	38127.0	38127.0
1	3	2	64656.0	64656.0
1	2	0	38127.0	38127.0
0	3	7	49197.0	49197.0
0	7	0	51467.0	51467.0
1	3	7	49197.0	49197.0
1	7	0	51467.0	51467.0
0	3	2	64656.0	64656.0
0	2	1	31500.0	31500.0
1	3	2	64656.0	64656.0
1	2	1	31500.0	31500.0
0	3	2	64656.0	64656.0
1	3	2	64656.0	64656.0
0	3	4	48681.0	48681.0
1	3	4	48681.0	48681.0
0	3	4	48681.0	48681.0
0	4	5	68076.0	68076.0
1	3	4	48681.0	48681.0
1	4	5	68076.0	68076.0
0	3	7	49197.0	49197.0
0	7	6	35033.0	35033.0
1	3	7	49197.0	49197.0
1	7	6	35033.0	35033.0
0	3	7	49197.0	49197.0
1	3	7	49197.0	49197.0
0	4	5	68076.0	68076.0
0	5	0	54104.0	54104.0
1	4	5	68076.0	68076.0
1	5	0	54104.0	54104.0
0	4	3	75480.0	75480.0
0	3	2	64656.0	64656.0
0	2	1	31500.0	31500.0
1	4	3	75480.0	75480.0
1	3	2	64656.0	64656.0
1	2	1	31500.0	31500.0
0	4	5	68076.0	68076.0
0	5	6	57920.0	57920.0
0	6	1	39683.0	39683.0
1	4	5	68076.0	68076.0
1	5	6	57920.0	57920.0
1	6	1	39683.0	39683.0
0	4	3	75480.0	75480.0
0	3	2	64656.0	64656.0
1	4	3	75480.0	75480.0
1	3	2	64656.0	64656.0
0	4	3	75480.0	75480.0
1	4	3	75480.0	75480.0
0	4	5	68076.0	68076.0
1	4	5	68076.0	68076.0
0	4	5	68076.0	68076.0
0	5	6	57920.0	57920.0
1	4	5	68076.0	68076.0
1	5	6	57920.0	57920.0
0	4	3	75480.0	75480.0
0	3	7	49197.0	49197.0
1	4	3	75480.0	75480.0
1	3	7	49197.0	49197.0
0	5	0	54104.0	54104.0
1	5	0	54104.0	54104.0
0	5	6	57920.0	57920.0
0	6	1	39683.0	39683.0
1	5	6	57920.0	57920.0
1	6	1	39683.0	39683.0
0	5	0	54104.0	54104.0
0	0	1	18899.0	18899.0
1	5	0	54104.0	54104.0
1	0	1	18899.0	18899.0
0	5	0	54104.0	54104.0
0	0	2	35556.0	35556.0
1	5	0	54104.0	54104.0
1	0	2	35556.0	35556.0
0	5	4	53157.0	53157.0
0	4	3	75480.0	75480.0
1	5	4	53157.0	53157.0
1	4	3	75480.0	75480.0
0	5	4	53157.0	53157.0
1	5	4	53157.0	53157.0
0	5	6	57920.0	57920.0
1	5	6	57920.0	57920.0
0	5	6	57920.0	57920.0
0	6	7	40037.0	40037.0
1	5	6	57920.0	57920.0
1	6	7	40037.0	40037.0
0	5	0	54104.0	54104.0
0	0	7	31286.0	31286.0
1	5	0	54104.0	54104.0
1	0	7	31286.0	31286.0
0	6	5	31928.0	31928.0
0	5	0	54104.0	54104.0
1	6	5	31928.0	31928.0
1	5	0	54104.0	54104.0
0	6	7	40037.0	40037.0
0	7	0	51467.0	51467.0
1	6	7	40037.0	40037.0
1	7	0	51467.0	51467.0
0	6	1	39683.0	39683.0
0	1	0	41084.0	41084.0
1	6	1	39683.0	39683.0
1	1	0	41084.0	41084.0
0	6	1	39683.0	39683.0
1	6	1	39683.0	39683.0
0	6	1	39683.0	39683.0
0	1	2	33405.0	33405.0
1	6	1	39683.0	39683.0
1	1	2	33405.0	33405.0
0	6	7	40037.0	40037.0
0	7	3	52764.0	52764.0
1	6	7	40037.0	40037.0
1	7	3	53784.0	53784.0
0	6	5	31928.0	31928.0
0	5	4	53157.0	53157.0
1	6	5	31928.0	31928.0
1	5	4	53157.0	53157.0
0	6	5	31928.0	31928.0
1	6	5	31928.0	31928.0
0	6	7	40037.0	40037.0
1	6	7	40037.0	40037.0
0	7	0	51467.0	51467.0
1	7	0	51467.0	51467.0
0	7	6	35033.0	35033.0
0	6	1	39683.0	39683.0
1	7	6	35033.0	35033.0
1	6	1	39683.0	39683.0
0	7	0	51467.0	51467.0
0	0	1	18899.0	18899.0
1	7	0	51467.0	51467.0
1	0	1	18899.0	18899.0
0	7	0	51467.0	51467.0
0	0	2	35556.0	35556.0
1	7	0	51467.0	51467.0
1	0	2	35556.0	35556.0
0	7	3	52764.0	52764.0
0	3	2	64656.0	64656.0
1	7	3	53784.0	53784.0
1	3	2	64656.0	64656.0
0	7	3	52764.0	52764.0
1	7	3	53784.0	53784.0
0	7	3	52764.0	52764.0
0	3	4	48681.0	48681.0
1	7	3	53784.0	53784.0
1	3	4	48681.0	48681.0
0	7	6	35033.0	35033.0
0	6	5	31928.0	31928.0
1	7	6	35033.0	35033.0
1	6	5	31928.0	31928.0
0	7	0	51467.0	51467.0
0	0	5	61475.0	61475.0
1	7	0	51467.0	51467.0
1	0	5	61475.0	61475.0
0	7	6	35033.0	35033.0
1	7	6	35033.0	35033.0
